id,user_id,video_id,rating,time_stamp
63116,329,PtMWOrkqUeA,1,2024-09-18 15:58:36
63117,329,sqdTZ4tGU0Q,2,2024-09-18 15:58:43
63118,329,ta_9EmyM0q4,3,2024-09-18 15:58:45
63119,329,q7D1SaQF1T8,5,2024-09-18 15:58:46
63120,329,c9z33uuiDBA,2,2024-09-18 15:58:48
63121,329,QPNtw9aecfU,3,2024-09-18 15:59:17
63122,329,O1dLluhZygQ,5,2024-09-18 15:59:36
63123,329,hue_fkVwEyQ,2,2024-09-18 15:59:38
63124,329,W7OZc98Y2To,1,2024-09-18 15:59:45
63125,329,c4nM3kxQzCY,1,2024-09-18 16:00:01
63126,329,DkZ7BJQupVA,3,2024-09-18 16:00:32
63127,329,WUvTyaaNkzM,5,2024-09-18 16:01:28
63128,329,7GPbuoiFP6Q,1,2024-09-18 16:01:55
63129,329,3bD8FuF8mEE,2,2024-09-18 16:02:23
63130,329,6EYbCD65KrE,1,2024-09-18 16:02:34
63131,329,7RG_S6uBZ0s,2,2024-09-18 16:03:00
63132,329,oxpKr6T_ctE,1,2024-09-18 16:03:04
63133,329,61swrBtjq7g,2,2024-09-18 16:03:36
63134,329,r7Ezgbp1Y1g,1,2024-09-18 16:04:00
63135,329,lcFqVIadWYo,1,2024-09-18 16:04:02
63136,329,Gghy0d5Ppcc,1,2024-09-18 16:04:12
63137,329,PbhDCo1J1aY,3,2024-09-18 16:04:19
63138,329,EhAemz1v7dQ,5,2024-09-18 16:04:27
63139,329,se3RwGumBmw,2,2024-09-18 16:04:35
63140,329,sJU_tmVSR2U,1,2024-09-18 16:04:36
63141,329,P8i4t0mjyd0,1,2024-09-18 16:04:37
63142,329,cg7FXmMPhAQ,1,2024-09-18 16:04:39
63143,329,2u_tHkWxrtY,5,2024-09-18 16:04:40
63144,329,l8xtLy23DKM,1,2024-09-18 16:04:42
63145,329,QF6mxHkJ9Y8,1,2024-09-18 16:04:47
63146,329,4aR1P9rS64w,5,2024-09-18 16:05:22
63147,329,QElGjlIPwMA,5,2024-09-18 16:05:54
63148,329,68UgJkTQw6E,4,2024-09-18 16:06:37
63149,329,mw0LGzIKvoo,3,2024-09-18 16:07:09
63150,329,1tOx_Vh5diE,4,2024-09-18 16:07:24
63151,329,ml4NSzCQobk,4,2024-09-18 16:08:02
63152,329,Hzh7zjOXzCU,3,2024-09-18 16:08:58
63153,329,VXIqvzkTBXk,4,2024-09-18 16:09:32
63154,329,GDVgPRxAzi0,3,2024-09-18 16:10:14
63155,329,qdA_fv9UjWg,1,2024-09-18 16:10:51
63156,329,c8EO32b6bzA,3,2024-09-18 16:11:24
63157,329,rUU5gm4uNVc,5,2024-09-18 16:11:52
63158,329,1fCdxEFQZBA,1,2024-09-18 16:12:36
63159,329,FLV_72wTNAA,5,2024-09-18 16:13:12
63160,329,hUdB232fIXM,4,2024-09-18 16:13:43
63161,329,T7aSI-E1fCE,4,2024-09-18 16:14:27
63162,329,jNJlny-nl0E,5,2024-09-18 16:14:57
63163,329,L660Cn_Art4,1,2024-09-18 16:15:17
63164,329,3_UuRqCyg5E,3,2024-09-18 16:15:36
63165,329,3zHp4Rg-GmM,3,2024-09-18 16:15:54
