"id","user_id","video_id","rating","time_stamp"
"102","5","gaf6iwsXqMA","5","2024-08-05 15:48:43"
"103","5","GL_YmnQVhDo","5","2024-08-05 15:48:48"
"104","5","nptAdhDQIJQ","3","2024-08-05 15:48:52"
"105","5","7RG_S6uBZ0s","5","2024-08-05 15:48:55"
"106","5","dL7OI2PYUww","2","2024-08-05 15:49:03"
"107","5","ws-hunNyk2o","1","2024-08-05 15:49:09"
"108","5","4vBZzkVRqbE","4","2024-08-05 15:49:14"
"109","5","KrEkDbAXECs","5","2024-08-05 15:49:22"
"110","5","ox3-Mz1rP8o","5","2024-08-05 15:49:26"
"111","5","gboiAVoT3Hw","4","2024-08-05 15:49:31"
"112","5","1zPKaaKzC5U","4","2024-08-05 15:49:35"
"113","5","MFK_K-b1dKc","4","2024-08-05 15:49:37"
"114","5","ClfSIiM276k","5","2024-08-05 15:49:42"
"115","5","CMRmEt2DB2Q","4","2024-08-05 15:49:55"
"116","5","33JyvRyFLU4","1","2024-08-05 15:49:59"
"117","6","fG3Dg8jdFAg","2","2024-08-05 15:50:31"
"118","5","RmlUQZeJlcM","3","2024-08-05 15:50:33"
"119","5","Hzh7zjOXzCU","5","2024-08-05 15:50:39"
"120","6","ObTZAklJcW0","1","2024-08-05 15:50:42"
"121","5","RrRoSQAnJAM","1","2024-08-05 15:50:42"
"122","5","a42Nz8p8QG0","4","2024-08-05 15:50:45"
"123","5","acWdVkYOzBs","5","2024-08-05 15:50:56"
"124","5","veV1oSMHeKY","3","2024-08-05 15:51:01"
"125","5","jtv2uItHgkI","1","2024-08-05 15:51:08"
"126","5","9i-6UGytNug","1","2024-08-05 15:51:14"
"127","5","t5o1FwnOTHA","1","2024-08-05 15:51:18"
"128","6","5QanNWE4CZQ","1","2024-08-05 15:51:25"
"129","6","BVA-gMG72VU","2","2024-08-05 15:51:49"
"130","6","b5GIbhFBrGw","1","2024-08-05 15:52:12"
"131","6","JH-7oAYjI3k","3","2024-08-05 15:52:26"
"132","6","U9ENCvFf9yQ","4","2024-08-05 15:52:37"
"133","6","qNaNpjLvRkU","3","2024-08-05 15:53:10"
"134","6","Iz4crvX-1rc","1","2024-08-05 15:53:32"
"135","6","38UnwTbu9_s","4","2024-08-05 15:53:46"
"136","6","fJH7ORAcWgc","3","2024-08-05 15:54:08"
"137","6","H2TbzIbBNR4","4","2024-08-05 15:54:17"
"138","6","BhADzyNtQSo","1","2024-08-05 15:54:35"
"139","6","IYwTPBk5-Uc","4","2024-08-05 15:55:17"
"140","6","-CFJVznRvmw","2","2024-08-05 15:55:48"
"141","6","YKWtc6Ne3Ls","2","2024-08-05 15:56:14"
"142","6","p6CF-umWLZg","3","2024-08-05 15:56:26"
"143","6","wap0fDP-jCU","1","2024-08-05 15:56:35"
"144","6","xLG0v_7LTr8","4","2024-08-05 15:56:54"
"145","6","Q0b5TWGaanM","3","2024-08-05 15:57:06"
"146","6","1XKitm8RNjM","3","2024-08-05 15:57:24"
"147","6","UBIVk4I1cqs","4","2024-08-05 15:57:49"
"148","6","zht0ia5Vq1U","4","2024-08-05 15:58:00"
"149","6","H7e_YUnz4G4","4","2024-08-05 15:58:09"
"150","6","AsyINDoqnxs","3","2024-08-05 15:58:35"
"151","6","KX7eO7MDCJo","3","2024-08-05 15:58:51"
"152","6","cFukdTKPBTk","4","2024-08-05 15:59:08"
"153","6","b1L6jcSpLd0","2","2024-08-05 15:59:15"
"154","6","WLHRmFdPRjA","2","2024-08-05 15:59:22"
"155","6","b86mQDcwYZw","2","2024-08-05 15:59:42"
"156","6","XsTOH_8Qakw","3","2024-08-05 16:00:05"
"157","6","rh5aJGxNZ38","3","2024-08-05 16:00:11"
"158","6","7s2KRSLcsNo","1","2024-08-05 16:00:20"
"159","6","9BSZVErTAr0","1","2024-08-05 16:00:44"
"160","6","YNleCaRa4uY","2","2024-08-05 16:01:00"
"161","6","exVaV47oMUE","3","2024-08-05 16:01:09"
"162","6","GfWI1kmoBpE","2","2024-08-05 16:01:25"
"163","6","4Ukh1v4Bj_0","4","2024-08-05 16:01:45"
"164","6","y8tAO3Ov8gs","1","2024-08-05 16:02:04"
"165","6","tqCWoGJaQec","1","2024-08-05 16:02:21"
"166","6","60GVGQZluuc","2","2024-08-05 16:02:30"
"167","6","H7s_r5ZlAAw","4","2024-08-05 16:02:34"
"168","6","p7fPWqhjWhE","3","2024-08-05 16:02:55"
"169","6","dwFHwIoBRa4","4","2024-08-05 16:03:11"
"170","6","wVYC6-3RMz8","4","2024-08-05 16:03:16"
"171","6","l4bW99gtXR8","3","2024-08-05 16:03:30"
"172","6","GAKdQvkgM7U","3","2024-08-05 16:03:37"
"173","6","o6QfTIBiZmY","1","2024-08-05 16:03:39"
"174","6","EPRlHbimIG8","1","2024-08-05 16:03:55"
"175","6","DeaRbaQEHX8","2","2024-08-05 16:04:15"
"176","6","4TDhFtALONU","3","2024-08-05 16:04:21"
"177","6","v_gCgM08n_4","2","2024-08-05 16:04:28"
"178","6","LcK9wocplUc","3","2024-08-05 16:04:33"
"179","6","G_r-l2UwaHA","2","2024-08-05 16:04:52"
"180","6","i_f6cgqNmrk","4","2024-08-05 16:04:56"
"181","6","-zXn964Txv8","5","2024-08-05 16:05:20"
"182","6","QPV-yiVam3g","4","2024-08-05 16:05:38"
"183","6","kZBwYb_TnBw","2","2024-08-05 16:05:47"
"184","6","nrTsfcbVDcA","3","2024-08-05 16:05:53"
"185","6","ozAPxH-GdeE","1","2024-08-05 16:05:59"
"186","6","wonp0Y8vyD0","2","2024-08-05 16:06:18"
"187","6","cToS7nl3xBY","4","2024-08-05 16:06:24"
"188","6","Zo7hFZ-CbhQ","1","2024-08-05 16:06:30"
"189","6","bXtCNz_2Png","1","2024-08-05 16:06:43"
"190","6","KOOhPfMbuIQ","2","2024-08-05 16:06:57"
"191","6","TCVU52T6Cbs","3","2024-08-05 16:07:09"
"192","6","IaofvXtl1u0","4","2024-08-05 16:07:14"
"193","6","mujYzq6Iq2E","2","2024-08-05 16:07:32"
"194","6","wTCnJir4Kgo","3","2024-08-05 16:07:40"
"195","6","pUAxz6PbcS4","2","2024-08-05 16:07:49"
"196","6","L6zsicHcrmI","2","2024-08-05 16:07:55"
"197","6","Y2ARqkq_SQ0","2","2024-08-05 16:07:59"
"198","6","xgIGowL02yU","3","2024-08-05 16:08:06"
"199","6","sXmcgTOkmyA","2","2024-08-05 16:08:14"
